module,module name
M00088,"Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone"
M00095,"C5 isoprenoid biosynthesis, mevalonate pathway"
M00373,Ethylmalonyl pathway
M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea"
M00082,"Fatty acid biosynthesis, initiation"
M00885,"Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)"
M00886,"Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)"
M00083,"Fatty acid biosynthesis, elongation"
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine"
M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate"
M00741,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA"
M00034,Methionine salvage pathway
M00035,Methionine degradation
M00368,"Ethylene biosynthesis, methionine => ethylene"
M00609,"Cysteine biosynthesis, methionine => cysteine"
M00953,"Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid"
M00338,"Cysteine biosynthesis, homocysteine + serine => cysteine"
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate"
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD"
M00030,"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"
M00960,"Lysine degradation, bacteria, L-lysine => D-lysine => succinate"
M00970,"Proline degradation, proline => glutamate"
M00972,Proline metabolism
M00015,"Proline biosynthesis, glutamate => proline"
M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine"
M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA"
M00027,GABA (gamma-Aminobutyrate) shunt
M00978,Ornithine-ammonia cycle
M00020,"Serine biosynthesis, glycerate-3P => serine"
M00140,"C1-unit interconversion, prokaryotes"
M00141,"C1-unit interconversion, eukaryotes"
M00532,Photorespiration
M00975,"Betaine degradation, bacteria, betaine => pyruvate"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF"
M00840,"Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF"
M00841,"Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF"
M00377,Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00621,Glycine cleavage system
M00029,Urea cycle
M00844,"Arginine biosynthesis, ornithine => arginine"
M00118,"Glutathione biosynthesis, glutamate => glutathione"
M00025,"Tyrosine biosynthesis, chorismate => HPP => tyrosine"
M00044,"Tyrosine degradation, tyrosine => homogentisate"
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
M00991,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA"
M00992,"Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA"
M00047,Creatine pathway
M00357,"Methanogenesis, acetate => methane"
M00958,"Adenine ribonucleotide degradation, AMP => Urate"
M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
M00868,"Heme biosynthesis, animals and fungi, glycine => heme"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme"
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme"
M00089,Triacylglycerol biosynthesis
M00093,"Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE"
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP"
M00051,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
M00345,"Formaldehyde assimilation, ribulose monophosphate pathway"
M00344,"Formaldehyde assimilation, xylulose monophosphate pathway"
M00855,"Glycogen degradation, glycogen => glucose-6P"
M00014,Glucuronate pathway (uronate pathway)
M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate"
M00761,"Und-P-alpha-L-Ara4N biosynthesis, UDP-Glc => UDP-L-Ara4FN => Und-P-alpha-L-Ara4N"
M00997,"UDP-Xyl/L-Ara biosynthesis, UDP-Glc => UDP-Xyl => UDP-L-Ala"
M00999,"UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA"
M00854,"Glycogen biosynthesis, glucose-1P => glycogen/starch"
M01048,"Sulfoquinovosyldiacylglycerol (SQDG) biosynthesis, glucose-1P => SQDG"
M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
M01004,"UDP-Galf biosynthesis, UDP-Glc => UDP-Galf"
M00554,"UDP-Gal biosynthesis, Gal => UDP-Gal"
M00114,"Ascorbate biosynthesis, plants, fructose-6P => ascorbate"
M01000,"GDP-Man biosynthesis, Fru-6P => GDP-Man"
M01006,"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N"
M01015,"GDP-Man biosynthesis, Man => GDP-Man"
M01016,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc"
M01017,"GDP-L-Col biosynthesis, GDP-Man => GDP-L-Col"
M01018,"GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha"
M01019,"GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal"
M01020,"GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc"
M01034,"GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl"
M01001,"GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc"
M00005,"PRPP biosynthesis, ribose-5P => PRPP"
M00048,"De novo purine biosynthesis, PRPP + glutamine => IMP"
M00959,"Guanine ribonucleotide degradation, GMP => Urate"
M00053,"Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP"
M00938,"Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP"
M00546,"Purine degradation, xanthine => urea"
M00968,"Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate"
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
M00176,"Assimilatory sulfate reduction, sulfate => H2S"
M00596,"Dissimilatory sulfate reduction, sulfate => H2S"
M00987,"Assimilatory sulfate reduction, plants, sulfate => H2S"
M00028,"Ornithine biosynthesis, glutamate => ornithine"
M00555,"Betaine biosynthesis, choline => betaine"
M00974,"Betaine metabolism, animals, betaine => glycine"
M00018,"Threonine biosynthesis, aspartate => homoserine => threonine"
M00936,"Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin"
M00962,"Psilocybin biosynthesis, tryptophan => psilocybin"
M00981,"Geissoschizine biosynthesis, tryptophan => geissoschizine"
M00024,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline"
M00039,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol"
M00137,"Flavanone biosynthesis, phenylalanine => naringenin"
M00935,Methanofuran biosynthesis
M00878,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA"
M00017,"Methionine biosynthesis, aspartate => homoserine => methionine"
M00913,"Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate"
M01036,"UDP-GalNAcA biosynthesis, UDP-GlcNAc => UDP-GalNAcA"
M00892,"UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc"
M00909,"UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc"
M00995,"UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc"
M01002,"UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc"
M01003,"UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc"
M00922,"CMP-Neu5Ac biosynthesis, bacteria, UDP-GlcNAc => CMP-Neu5Ac"
M00955,"CMP-Neu5Ac/Neu5Gc biosynthesis, animals, UDP-GlcNAc => CMP-Neu5Ac => CMP-Neu5Gc"
M00793,"dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha"
M01022,"dTDP-6-deoxy-L-Tal biosynthesis, Glc-1P => dTDP-6-deoxy-L-Tal"
M01023,"dTDP-D-Fuc3NAc biosynthesis, Glc-1P => dTDP-D-Fuc3NAc"
M01024,"dTDP-Qui3NAc biosynthesis, Glc-1P => dTDP-Qui3NAc"
M01025,"dTDP-D-Fuc4NAc biosynthesis, Glc-1P => dTDP-D-Fuc4NAc"
M01026,"dTDP-Qui4NAc biosynthesis, Glc-1P => dTDP-Qui4NAc"
M01027,"dTDP-D-Fucf biosynthesis, Glc-1P => dTDP-D-Fucf"
M00055,N-glycan precursor biosynthesis
M00838,"Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin"
M00098,Acylglycerol degradation
M00107,"Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone"
M00108,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"
M00043,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"
M00977,"C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone"
M00976,"C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone"
M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway"
M00364,"C10-C20 isoprenoid biosynthesis, bacteria"
M00365,"C10-C20 isoprenoid biosynthesis, archaea"
M00366,"C10-C20 isoprenoid biosynthesis, plants"
M00367,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"
M00101,"Cholesterol biosynthesis, FPP => cholesterol"
M00102,"Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol"
M01038,"Staphyloxanthin biosynthesis, bacteria, farnesyl-PP => staphyloxanthin"
M00921,"Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin"
M00110,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"
M00094,Ceramide biosynthesis
M00099,Sphingosine biosynthesis
M00066,Lactosylceramide biosynthesis
M00100,Sphingosine degradation
M00092,"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE"
M00090,"Phosphatidylcholine (PC) biosynthesis, choline => PC"
M00091,"Phosphatidylcholine (PC) biosynthesis, PE => PC"
M00069,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"
M00068,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"
M00070,"Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer"
M00071,"Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer"
M00067,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
M00065,"GPI-anchor biosynthesis, core oligosaccharide"
M00109,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"
M00104,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate"
M00106,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"
M00115,"NAD biosynthesis, aspartate => quinolinate => NAD"
M00120,"Coenzyme A biosynthesis, pantothenate => CoA"
M00914,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA"
M00994,"UDP-GlcA biosynthesis, myo-inositol => GlcA => UDP-GlcA"
M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4"
M00131,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol"
M00132,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"
M00880,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor"
M00842,"Tetrahydrobiopterin biosynthesis, GTP => BH4"
M00843,"L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4"
M00988,"PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine"
M00125,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD"
M00911,"Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD"
M00037,"Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin"
M00897,"Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP"
M00898,"Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP"
M00124,"Pyridoxal phosphate biosynthesis, erythrose-4P => pyridoxal-P"
M00103,Cholecalciferol biosynthesis
M00538,"Toluene degradation, toluene => benzoate"
M01047,"Juvenile hormone biosynthesis, insects, farnesyl-PP => juvenile hormone III"
